"자치구 기준일","종로구 전체","종로구 추가","중구 전체","중구 추가","용산구 전체","용산구 추가","성동구 전체","성동구 추가","광진구 전체","광진구 추가","동대문구 전체","동대문구 추가","중랑구 전체","중랑구 추가","성북구 전체","성북구 추가","강북구 전체","강북구 추가","도봉구 전체","도봉구 추가","노원구 전체","노원구 추가","은평구 전체","은평구 추가","서대문구 전체","서대문구 추가","마포구 전체","마포구 추가","양천구 전체","양천구 추가","강서구 전체","강서구 추가","구로구 전체","구로구 추가","금천구 전체","금천구 추가","영등포구 전체","영등포구 추가","동작구 전체","동작구 추가","관악구 전체","관악구 추가","서초구 전체","서초구 추가","강남구 전체","강남구 추가","송파구 전체","송파구 추가","강동구 전체","강동구 추가","기타 전체","기타 추가"
"2022.12.25.00","74910","109","67291","161","115604","189","159946","320","193458","359","186310","308","204812","323","238315","426","151035","268","164267","265","283903","465","252526","508","169746","292","207588","376","243455","492","319457","682","224145","387","126863","231","225778","439","219947","438","276574","586","220406","512","285556","564","365207","797","255904","457","355539","554"
"2022.12.24.00","74801","143","67130","138","115415","201","159626","267","193099","372","186002","379","204489","449","237889","475","150767","255","164002","316","283438","532","252018","547","169454","387","207212","454","242963","554","318775","785","223758","408","126632","288","225339","508","219509","476","275988","568","219894","486","284992","655","364410","797","255447","583","354985","1060"
"2022.12.23.00","74658","155","66998","140","115215","248","159360","343","192728","448","185622","343","204039","436","237415","474","150507","249","163719","358","282906","532","251472","567","169068","386","206759","483","242411","565","317991","863","223352","476","126345","272","224840","482","219035","512","275420","588","219409","442","284339","674","363616","718","254866","560","353912","1100"
"2022.12.22.00","74503","195","66858","121","114967","288","159017","353","192280","425","185279","394","203603","514","236941","549","150258","295","163361","356","282374","645","250905","615","168682","388","206276","585","241846","583","317128","854","222876","600","126073","302","224358","607","218523","556","274832","721","218967","541","283665","695","362898","919","254306","646","352812","1199"
"2022.12.21.00","74308","183","66737","192","114679","317","158664","411","191855","437","184885","379","203089","595","236392","588","149963","354","163005","423","281729","654","250290","787","168294","421","205691","562","241263","687","316274","967","222276","607","125771","373","223751","566","217967","646","274111","894","218426","609","282970","763","361979","1089","253660","719","351613","1341"
"2022.12.20.00","74125","256","66545","186","114362","368","158253","495","191418","702","184506","552","202494","637","235804","683","149609","401","162582","497","281075","822","249503","736","167873","584","205129","708","240576","758","315307","1264","221669","772","125398","410","223185","788","217321","738","273217","845","217817","583","282207","944","360890","1223","252941","896","350272","1375"
"2022.12.19.00","73869","46","66359","40","113994","100","157758","113","190716","128","183954","121","201857","113","235121","123","149208","105","162089","91","280253","230","248767","307","167289","116","204421","199","239818","201","314043","269","220897","108","124988","65","222397","158","216583","159","272372","180","217234","205","281263","245","359667","300","252045","199","348893","270"
"2022.12.18.00","73823","147","66319","128","113894","219","157645","284","190588","337","183833","272","201744","356","234998","450","149103","286","161998","316","280023","518","248460","400","167173","294","204222","427","239617","557","313774","746","220789","448","124923","224","222239","394","216424","439","272192","552","217029","445","281018","603","359367","786","251846","463","348623","558"
"2022.12.17.00","73676","147","66191","119","113675","236","157361","320","190251","392","183561","348","201388","446","234548","491","148817","302","161682","333","279505","552","248060","555","166879","372","203795","475","239060","543","313028","781","220341","535","124699","287","221845","495","215985","482","271640","593","216584","469","280415","711","358581","781","251383","609","348065","1030"
"2022.12.16.00","73529","191","66078","119","113439","259","157043","312","189859","394","183214","380","200944","430","234060","532","148515","289","161363","333","278954","541","247506","585","166507","339","203321","448","238518","561","312249","789","219808","469","124413","302","221353","499","215504","473","271047","583","216115","472","279704","558","357801","843","250775","595","347045","1106"
"2022.12.15.00","73327","149","65950","173","113176","226","156722","358","189462","406","182828","400","200497","418","233492","454","148093","307","163566","345","278254","589","246919","588","166164","381","202868","496","237953","560","311450","793","219333","526","124108","305","220846","527","215022","466","270460","720","215628","482","279135","635","356942","830","250173","598","343894","1098"
"2022.12.14.00","73178","216","65777","176","112950","288","156364","372","189056","455","182428","397","200079","554","233038","627","147786","392","163221","429","277665","690","246331","753","165783","441","202372","550","237393","696","310657","932","218807","618","123803","326","220319","656","214556","577","269740","821","215146","602","278500","730","356112","968","249575","671","342796","1243"
"2022.12.13.00","72962","273","65601","202","112662","414","155992","515","188601","533","182031","535","199525","666","232411","728","147394","417","162792","522","276975","874","245578","720","165342","536","201822","722","236697","675","309725","1037","218189","761","123477","438","219663","739","213979","716","268919","809","214544","533","277770","886","355144","1306","248904","869","341553","1270"
"2022.12.12.00","72689","42","65399","28","112248","64","155477","96","188068","122","181496","94","198859","118","231683","113","146977","88","162270","77","276101","207","244858","346","164806","91","201100","163","236022","181","308688","283","217428","87","123039","57","218924","149","213263","161","268110","167","214011","242","276884","239","353838","226","248035","232","340283","237"
"2022.12.11.00","72647","124","65371","110","112184","176","155381","246","187946","324","181402","320","198741","313","231570","481","146889","272","162193","274","275894","484","244512","389","164715","245","200937","382","235841","530","308405","631","217341","365","122982","176","218775","364","213102","374","267943","531","213769","395","276645","529","353612","665","247803","389","340046","514"
"2022.12.10.00","72523","154","65261","141","112008","217","155135","288","187622","365","181082","333","198428","432","231089","460","146617","320","161919","320","275410","580","244123","493","164470","354","200555","438","235311","533","307774","770","216976","486","122806","237","218411","460","212728","464","267412","577","213374","441","276116","598","352947","722","247414","542","339532","965"
"2022.12.09.00","72369","170","65128","123","111791","244","154849","311","187258","395","180749","335","197997","374","230632","471","146298","276","161600","287","274830","590","243631","510","164118","364","200118","487","234778","531","307004","792","216490","428","122570","260","217954","477","212265","455","266835","620","212933","439","275518","615","352228","790","246873","583","338569","926"
